category,year,volume,issue,article,title,authors,doi,article_url,official_pdf_url,notes
core,2021,13,13,2497,"Extracting Information on Rocky Desertification from Satellite Images: A Comparative Study","Pu J.; Zhao X.; Dong P.; Wang Q.; Yue Q.",10.3390/rs13132497,https://www.mdpi.com/2072-4292/13/13/2497,https://www.mdpi.com/2072-4292/13/13/2497/pdf,"PDF successfully downloaded via UNT mirror; official MDPI link included."
core,2021,13,15,2935,"Optimization of Rocky Desertification Classification Model Based on Vegetation Type and Seasonal Characteristic","Qian C.; Qiang H.; Wang F.; Li M.",10.3390/rs13152935,https://www.mdpi.com/2072-4292/13/15/2935,https://www.mdpi.com/2072-4292/13/15/2935/pdf,"Official PDF link included; direct automated download blocked/limited during this session."
core,2022,14,2,292,"Spatiotemporal Evolution Analysis and Future Scenario Prediction of Rocky Desertification in a Subtropical Karst Region",,10.3390/rs14020292,https://www.mdpi.com/2072-4292/14/2/292,https://www.mdpi.com/2072-4292/14/2/292/pdf,"Official PDF link included; direct automated download blocked/limited during this session."
core,2022,14,10,2351,"The Changes of Spatiotemporal Pattern of Rocky Desertification and Its Dominant Driving Factors in Typical Karst Mountainous Areas under the Background of Global Change","Guo B.; Yang F.; Fan J.; Lu Y.",10.3390/rs14102351,https://www.mdpi.com/2072-4292/14/10/2351,https://www.mdpi.com/2072-4292/14/10/2351/pdf,"Official PDF link included; direct automated download blocked/limited during this session."
core,2023,15,12,3056,"Extraction of Rocky Desertification Information in the Karst Area Based on the Red-NIR-SWIR Spectral Feature Space","Cai J.; Yu W.; Fang Q.; Zi R.; Fang F.; Zhao L.",10.3390/rs15123056,https://www.mdpi.com/2072-4292/15/12/3056,https://www.mdpi.com/2072-4292/15/12/3056/pdf,"Official PDF link included; direct automated download blocked/limited during this session."
core,2024,16,24,4786,"Classification of Karst Rocky Desertification Levels in Jinsha County Using a Feature Space Method Based on SDGSAT-1 Multispectral Data",,10.3390/rs16244786,https://www.mdpi.com/2072-4292/16/24/4786,https://www.mdpi.com/2072-4292/16/24/4786/pdf,"Official PDF link included; direct automated download blocked/limited during this session."
core,2025,17,13,2294,"Spatiotemporal Evolution and Driving Factors of Karst Rocky Desertification in Guangxi, China, Under Climate Change and Human Activities","Su J.; Liu M.; Yang Q.; Liu X.; Wu Z.; Wen Y.",10.3390/rs17132294,https://www.mdpi.com/2072-4292/17/13/2294,https://www.mdpi.com/2072-4292/17/13/2294/pdf,"Official PDF link included; direct automated download blocked/limited during this session."
closely_related,2018,10,9,1321,"Analysis of Landsat-8 OLI Imagery for Estimating Exposed Bedrock Fractions in Typical Karst Regions of Southwest China",,10.3390/rs10091321,https://www.mdpi.com/2072-4292/10/9/1321,https://www.mdpi.com/2072-4292/10/9/1321/pdf,"Closely related to EBF/FBR and rocky desertification mapping. Official PDF link included."
closely_related,2016,8,1,68,"Quantitative Estimation of Carbonate Rock Fraction in Karst Regions Based on Spectral Feature Analysis",,10.3390/rs8010068,https://www.mdpi.com/2072-4292/8/1/68,https://www.mdpi.com/2072-4292/8/1/68/pdf,"Closely related to carbonate rock fraction/bedrock exposure. Official PDF link included."
background,2014,6,10,9895,"Is Forest Restoration in the Southwest China Karst Promoted Mainly by Climate Change or Human-Induced Factors?",,10.3390/rs6109895,https://www.mdpi.com/2072-4292/6/10/9895,https://www.mdpi.com/2072-4292/6/10/9895/pdf,"Background on Southwest China karst restoration and rock/rocky desertification."
background,2021,13,9,1614,"How Can We Realize Sustainable Development Goals in Rocky Desertified Regions by Enhancing Crop Yield with Reduction of Environmental Risks?","Liang B.; Quine T.A.; Liu H.; Cressey E.L.; Bateman I.",10.3390/rs13091614,https://www.mdpi.com/2072-4292/13/9/1614,https://www.mdpi.com/2072-4292/13/9/1614/pdf,"Background on rocky desertified regions; not a mapping-method paper."
